he4_theta,p_theta
14.474,36.7448
14.4767,36.7011
14.4794,36.6573
14.482,36.6136
14.4846,36.5699
14.4871,36.5262
14.4897,36.4825
14.4922,36.4388
14.4946,36.3951
14.497,36.3514
14.4995,36.3077
14.5018,36.2641
14.5041,36.2204
14.5064,36.1768
14.5087,36.1331
14.5109,36.0895
14.5131,36.0459
14.5152,36.0023
14.5173,35.9587
14.5194,35.9151
14.5215,35.8715
14.5235,35.8279
14.5255,35.7843
14.5274,35.7408
14.5293,35.6972
14.5312,35.6537
14.533,35.6101
14.5348,35.5666
14.5366,35.523
14.5383,35.4795
14.54,35.436
14.5417,35.3925
14.5433,35.349
14.5449,35.3056
14.5465,35.2621
14.548,35.2186
14.5495,35.1751
14.5509,35.1317
14.5524,35.0882
14.5538,35.0448
14.5551,35.0014
14.5564,34.958
14.5577,34.9146
14.5589,34.8712
14.5602,34.8278
14.5613,34.7844
14.5625,34.741
14.5635,34.6976
14.5646,34.6542
14.5656,34.6109
14.5666,34.5675
14.5676,34.5242
14.5685,34.4809
14.5694,34.4376
14.5702,34.3942
14.571,34.3509
14.5718,34.3076
14.5725,34.2643
14.5733,34.221
14.5739,34.1778
14.5745,34.1345
14.5751,34.0912
14.5757,34.048
14.5762,34.0047
14.5767,33.9615
14.5771,33.9183
14.5775,33.8751
14.5779,33.8318
14.5782,33.7886
14.5785,33.7454
14.5788,33.7023
14.579,33.6591
14.5792,33.6159
14.5793,33.5727
14.5795,33.5296
14.5795,33.4864
14.5796,33.4433
14.5795,33.4001
14.5795,33.357
14.5794,33.3139
14.5793,33.2708
14.5792,33.2277
14.579,33.1846
14.5788,33.1415
14.5785,33.0984
14.5782,33.0554
14.5779,33.0123
14.5775,32.9692
14.5771,32.9262
14.5766,32.8831
14.5761,32.8401
14.5756,32.7971
14.575,32.7541
14.5744,32.711
14.5738,32.668
14.5731,32.6251
14.5724,32.5821
14.5716,32.5391
14.5708,32.4961
14.5699,32.4531
14.5691,32.4102
14.5682,32.3672
14.5672,32.3243
14.5662,32.2814
14.5652,32.2384
14.5641,32.1955
14.563,32.1526
14.5618,32.1097
14.5607,32.0668
14.5594,32.0239
14.5582,31.981
14.5569,31.9382
14.5555,31.8953
14.5541,31.8524
14.5527,31.8096
14.5513,31.7667
14.5498,31.7239
14.5482,31.6811
14.5467,31.6383
14.545,31.5955
14.5434,31.5526
14.5417,31.5098
14.5399,31.4671
14.5381,31.4243
14.5363,31.3815
14.5345,31.3387
14.5326,31.296
14.5306,31.2532
14.5287,31.2105
14.5266,31.1677
14.5246,31.125
14.5225,31.0823
14.5204,31.0396
14.5182,30.9969
14.516,30.9542
14.5137,30.9115
14.5114,30.8688
14.509,30.8261
14.5067,30.7834
14.5042,30.7408
14.5018,30.6981
14.4993,30.6555
14.4967,30.6128
14.4941,30.5702
14.4915,30.5275
14.4888,30.4849
14.4862,30.4423
14.4834,30.3997
14.4806,30.3571
14.4778,30.3145
14.4749,30.2719
14.472,30.2294
14.4691,30.1868
14.466,30.1442
14.463,30.1017
14.4599,30.0591
14.4568,30.0166
14.4536,29.9741
14.4505,29.9315
14.4472,29.889
14.4439,29.8465
14.4406,29.804
14.4372,29.7615
14.4338,29.719
14.4304,29.6765
14.4268,29.6341
14.4233,29.5916
14.4197,29.5491
