A_4He,E_4He,A_p,E_p
9.958462,171.708,59.519093,112.393
9.930788,171.879,59.615286,111.714
9.903062,172.049,59.711512,111.036
9.875283,172.22,59.807771,110.361
9.847452,172.389,59.904063,109.686
9.819568,172.559,60.000388,109.013
9.791633,172.728,60.096745,108.342
9.763647,172.896,60.193136,107.672
9.735609,173.065,60.289559,107.004
9.70752,173.232,60.386015,106.337
9.67938,173.4,60.482503,105.672
9.651189,173.567,60.579024,105.008
9.622948,173.734,60.675578,104.346
9.594657,173.9,60.772164,103.686
9.566316,174.066,60.868782,103.027
9.537925,174.231,60.965433,102.37
9.509485,174.396,61.062116,101.714
9.480995,174.561,61.158831,101.06
9.452457,174.725,61.255578,100.407
9.423869,174.889,61.352358,99.7565
9.395233,175.052,61.44917,99.1073
9.366549,175.215,61.546013,98.4597
9.337816,175.378,61.642889,97.8138
9.309035,175.54,61.739796,97.1695
9.280207,175.702,61.836735,96.5268
9.251331,175.863,61.933706,95.8859
9.222408,176.024,62.030709,95.2465
9.193438,176.185,62.127743,94.6089
9.164421,176.345,62.224809,93.9729
9.135358,176.504,62.321907,93.3386
9.106248,176.664,62.419035,92.706
9.077092,176.822,62.516196,92.0751
9.04789,176.981,62.613387,91.4459
9.018642,177.139,62.71061,90.8184
8.989349,177.296,62.807864,90.1926
8.960011,177.453,62.905149,89.5685
8.930627,177.61,63.002465,88.9462
8.901199,177.766,63.099812,88.3256
8.871725,177.922,63.19719,87.7067
8.842208,178.077,63.294599,87.0896
8.812646,178.232,63.392039,86.4742
8.78304,178.387,63.489509,85.8606
8.753391,178.541,63.58701,85.2487
8.723698,178.694,63.684542,84.6387
8.693961,178.848,63.782104,84.0303
8.664181,179,63.879697,83.4238
8.634359,179.152,63.97732,82.8191
8.604493,179.304,64.074973,82.2161
8.574585,179.456,64.172657,81.615
8.544635,179.606,64.27037,81.0156
8.514643,179.757,64.368114,80.4181
8.484608,179.907,64.465888,79.8223
8.454532,180.056,64.563691,79.2284
8.424415,180.205,64.661525,78.6364
8.394256,180.354,64.759388,78.0461
8.364056,180.502,64.857281,77.4577
8.333815,180.65,64.955204,76.8712
8.303534,180.797,65.053156,76.2865
8.273212,180.944,65.151138,75.7036
