p_theta,he6_theta
57.7556,7.24153
57.8038,7.23266
57.8521,7.22377
57.9003,7.21488
57.9486,7.20596
57.9969,7.19704
58.0452,7.1881
58.0935,7.17916
58.1418,7.1702
58.1902,7.16124
58.2385,7.15225
58.2868,7.14326
58.3352,7.13425
58.3836,7.12523
58.432,7.1162
58.4803,7.10716
58.5287,7.0981
58.5771,7.08904
58.6256,7.07996
58.674,7.07087
58.7224,7.06176
58.7709,7.05266
58.8193,7.04352
58.8678,7.03439
58.9163,7.02524
58.9647,7.01608
59.0132,7.0069
59.0617,6.99773
59.1103,6.98852
59.1588,6.97932
59.2073,6.9701
59.2558,6.96087
59.3044,6.95162
59.353,6.94238
59.4015,6.9331
59.4501,6.92383
59.4987,6.91454
59.5473,6.90525
59.5959,6.89593
59.6445,6.88661
59.6932,6.87727
59.7418,6.86793
59.7904,6.85857
