A_p,CM angle
53.1063,67.05
53.1533,66.96
53.2002,66.87
53.2471,66.78
53.2941,66.69
53.3411,66.6
53.388,66.51
53.435,66.42
53.482,66.33
53.529,66.24
53.576,66.15
53.623,66.06
53.6701,65.97
53.7171,65.88
53.7642,65.79
53.8112,65.7
53.8583,65.61
53.9053,65.52
53.9524,65.43
53.9995,65.34
54.0466,65.25
54.0937,65.16
54.1408,65.07
54.1879,64.98
54.2351,64.89
54.2822,64.8
54.3294,64.71
54.3765,64.62
54.4237,64.53
54.4709,64.44
54.5181,64.35
54.5652,64.26
54.6125,64.17
54.6597,64.08
54.7069,63.99
54.7541,63.9
54.8014,63.81
54.8486,63.72
54.8959,63.63
54.9431,63.54
54.9904,63.45
55.0377,63.36
55.085,63.27
55.1323,63.18
55.1796,63.09
55.2269,63
55.2742,62.91
55.3215,62.82
55.3689,62.73
55.4162,62.64
55.4636,62.55
55.511,62.46
55.5583,62.37
55.6057,62.28
55.6531,62.19
55.7005,62.1
55.7479,62.01
55.7954,61.92
55.8428,61.83
55.8902,61.74
55.9377,61.65
55.9851,61.56
56.0326,61.47
56.0801,61.38
56.1275,61.29
56.175,61.2
56.2225,61.11
56.27,61.02
56.3176,60.93
56.3651,60.84
56.4126,60.75
56.4601,60.66
56.5077,60.57
56.5553,60.48
56.6028,60.39
56.6504,60.3
56.698,60.21
56.7456,60.12
56.7932,60.03
56.8408,59.94
56.8884,59.85
56.936,59.76
56.9837,59.67
57.0313,59.58
57.079,59.49
57.1266,59.4
57.1743,59.31
57.222,59.22
57.2697,59.13
57.3174,59.04
57.3651,58.95
57.4128,58.86
57.4605,58.77
57.5082,58.68
57.556,58.59
57.6037,58.5
57.6515,58.41
57.6992,58.32
57.747,58.23
57.7948,58.14
57.8426,58.05
57.8904,57.96
57.9382,57.87
57.986,57.78
58.0338,57.69
58.0817,57.6
58.1295,57.51
58.1773,57.42
58.2252,57.33
58.2731,57.24
58.321,57.15
58.3688,57.06
58.4167,56.97
58.4646,56.88
58.5125,56.79
58.5604,56.7
58.6084,56.61
58.6563,56.52
58.7042,56.43
58.7522,56.34
58.8002,56.25
58.8481,56.16
58.8961,56.07
58.9441,55.98
58.9921,55.89
59.0401,55.8
59.0881,55.71
59.1361,55.62
59.1841,55.53
59.2321,55.44
59.2802,55.35
59.3282,55.26
59.3763,55.17
59.4244,55.08
59.4724,54.99
59.5205,54.9
59.5686,54.81
59.6167,54.72
59.6648,54.63
59.7129,54.54
59.7611,54.45
59.8092,54.36
59.8573,54.27
59.9055,54.18
59.9536,54.09
60.0018,54
60.05,53.91
60.0982,53.82
60.1463,53.73
60.1945,53.64
60.2428,53.55
60.291,53.46
60.3392,53.37
60.3874,53.28
60.4357,53.19
60.4839,53.1
60.5322,53.01
60.5804,52.92
60.6287,52.83
60.677,52.74
60.7253,52.65
60.7736,52.56
60.8219,52.47
60.8702,52.38
60.9185,52.29
60.9668,52.2
